RECTYPE,URN,PCODE,TELNUM,TKS1EXP_L,PKS1EXP_L,TKS1EXP_M,PKS1EXP_M,TKS1EXP_H,PKS1EXP_H,TFSMCLA,PTFSMCLA,PT2MATH12,PT2READ12,PT2WRITTA12,TAPS,AVGLEVEL,PT2MATH12_B,PT2MATH12_G,PT2MATH12_L,PT2MATH12_M,PT2MATH12_H,PTREADX,PTREADAT,GAPN_3YR_RWMX_FSMCLA,GAPN_2YR_PRREAD_NOTFSMCLA,GAPN_2YR_PRWRIT_NOTFSMCLA,GAPN_3YR_PRMAT_NOTFSMCLA
1,138192,SL3 7TS,01753 544474,6,10%,29,47%,27,44%,22,35%,90%,87%,89%,29.4,4A,84%,97%,50%,93%,96%,87%,0%,-6,-2,-1,-1
1,110040,SL2 3AA,01753 645828,15,33%,29,64%,1,2%,9,17%,87%,98%,98%,27.3,4B,100%,78%,73%,93%,SUPP,91%,0%,0,9,7,5
1,110039,SL2 5QR,01753 522048,8,15%,33,62%,12,23%,14,24%,68%,89%,81%,27.1,4B,71%,66%,25%,73%,83%,84%,0%,-11,1,-9,-13
1,109995,SL1 2AR,01753 534791,10,19%,32,59%,12,22%,19,32%,91%,93%,94%,28.1,4A,92%,90%,70%,94%,100%,85%,0%,13,4,3,3
1,134251,SL1 5TJ,01753 526326,1,2%,39,67%,18,31%,12,20%,86%,90%,83%,28.9,4A,82%,89%,SUPP,82%,94%,90%,0%,-18,1,-8,-8
1,109943,SL3 6LU,01753 524989,12,21%,33,58%,12,21%,26,44%,81%,88%,95%,27.5,4B,82%,79%,75%,79%,92%,80%,2%,-11,0,-5,1
1,139198,SL2 5FF,01753 551854,,,,,,,,,,,,,,,,,,,,,,,,
2,110185,SL2 3AE,01753 525113,13,100%,0,0%,0,0%,9,53%,0%,0%,0%,12.3,2,0%,SUPP,0%,SUPP,SUPP,0%,0%,-59,-83,-85,-88
2,110188,SL1 3QW,01753 521734,4,57%,3,43%,0,0%,6,86%,57%,57%,43%,20.1,3B,50%,SUPP,SUPP,SUPP,SUPP,29%,0%,SUPP,SUPP,SUPP,SUPP
3,,,,280,18%,898,57%,395,25%,536,31%,86%,88%,92%,28.2,4A,84%,87%,69%,88%,94%,86%,,2,0,0,-2
1,109850,RG6 7HR,0118 9265843,3,7%,25,56%,17,38%,3,7%,96%,98%,100%,31.5,5C,96%,95%,SUPP,100%,100%,98%,0%,SUPP,SUPP,SUPP,SUPP
1,135459,RG40 1UX,0118 9787173,8,32%,11,44%,6,24%,9,32%,56%,58%,81%,25.7,4C,77%,33%,13%,82%,67%,54%,0%,-26,-27,-9,-18
1,109836,RG41 5BB,0118 9784628,9,32%,14,50%,5,18%,8,26%,86%,89%,100%,28.6,4A,92%,81%,89%,79%,SUPP,87%,0%,1,3,8,7
1,109936,RG5 4JJ,0118 9695976,4,9%,27,61%,13,30%,8,18%,77%,89%,86%,28.4,4A,82%,73%,SUPP,89%,62%,89%,0%,3,3,-2,2
1,109878,RG10 0AX,0118 9340530,2,7%,17,61%,9,32%,1,3%,86%,93%,100%,29.2,4A,67%,100%,SUPP,88%,100%,93%,0%,SUPP,SUPP,SUPP,SUPP
1,135617,RG2 9NX,0118 9760751,18,32%,30,53%,9,16%,9,16%,91%,89%,91%,28.4,4A,89%,93%,78%,97%,100%,86%,0%,-26,4,1,3
1,109983,RG10 8LY,0118 9402612,0,0%,2,29%,5,71%,0,0%,100%,100%,100%,31.1,5C,SUPP,SUPP,SUPP,SUPP,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110009,RG6 1EY,0118 9261657,5,9%,38,67%,14,25%,4,7%,86%,86%,89%,29,4A,77%,96%,SUPP,84%,100%,89%,0%,-3,1,-2,-1
1,109863,RG41 1JR,0118 9784940,7,13%,31,57%,16,30%,8,14%,91%,83%,93%,28.5,4A,90%,92%,57%,94%,100%,79%,2%,-9,-5,1,-6
1,109829,RG7 1UB,0118 9732148,3,11%,14,50%,11,39%,0,0%,82%,86%,89%,28.3,4A,94%,64%,SUPP,79%,91%,97%,0%,SUPP,SUPP,SUPP,SUPP
1,110012,RG40 4JR,0118 9732166,2,15%,4,31%,7,54%,3,18%,62%,85%,85%,28.9,4A,SUPP,63%,SUPP,SUPP,86%,88%,0%,SUPP,SUPP,SUPP,SUPP
1,109877,RG40 4JJ,0118 9732666,3,5%,32,56%,22,39%,5,8%,84%,89%,95%,29.7,4A,89%,79%,SUPP,81%,95%,90%,2%,-22,4,2,-1
1,110015,RG7 1JY,0118 9883340,2,13%,9,60%,4,27%,4,27%,100%,80%,100%,29.2,4A,100%,100%,SUPP,100%,SUPP,93%,0%,27,SUPP,SUPP,1
1,109892,RG45 6LP,01344 776227,4,13%,17,57%,9,30%,3,10%,100%,100%,100%,30.1,5C,100%,100%,SUPP,100%,100%,97%,0%,16,SUPP,SUPP,7
1,109929,RG6 3AP,0118 9667444,11,16%,38,56%,19,28%,4,6%,97%,88%,91%,29.1,4A,97%,97%,100%,95%,100%,81%,1%,-9,1,2,5
1,109921,RG41 3PQ,0118 9791676,4,7%,28,47%,28,47%,2,3%,85%,95%,98%,30.9,5C,84%,86%,SUPP,89%,82%,92%,0%,SUPP,SUPP,SUPP,SUPP
1,131689,RG5 3JE,0118 9265493,8,40%,11,55%,1,5%,12,48%,90%,70%,90%,28.2,4A,82%,100%,75%,100%,SUPP,64%,0%,-11,-11,0,-3
1,109930,RG6 4HQ,0118 9755771,7,15%,27,59%,12,26%,2,4%,91%,93%,100%,29.6,4A,83%,100%,86%,89%,100%,90%,0%,-3,SUPP,SUPP,-4
1,109840,RG40 1PG,0118 9784859,4,11%,16,46%,15,43%,5,13%,83%,89%,94%,29.1,4A,75%,100%,SUPP,81%,100%,92%,0%,-38,-2,1,-1
1,109830,RG7 1JB,0118 9883820,2,9%,12,52%,9,39%,5,22%,83%,87%,87%,29,4A,80%,85%,SUPP,75%,100%,83%,9%,-23,-10,-6,-12
1,131192,RG6 7LR,0118 9261449,12,22%,26,48%,16,30%,6,10%,98%,93%,98%,29.6,4A,100%,96%,92%,100%,100%,85%,0%,14,2,6,-5
1,109814,RG40 3RB,0118 9733118,4,9%,28,62%,13,29%,3,6%,96%,93%,93%,30.1,5C,95%,96%,SUPP,100%,92%,94%,0%,SUPP,SUPP,SUPP,SUPP
1,109809,RG45 6QZ,01344 773496,1,2%,26,45%,31,53%,2,3%,93%,93%,93%,30.6,5C,93%,93%,SUPP,92%,97%,97%,0%,SUPP,SUPP,SUPP,SUPP
1,134899,RG10 9AX,0118 9341338,3,6%,31,57%,20,37%,5,8%,100%,93%,96%,29.6,4A,100%,100%,SUPP,100%,100%,97%,0%,-5,4,4,6
1,109927,RG6 5UZ,0118 9869050,6,10%,31,53%,22,37%,7,12%,90%,97%,97%,29.9,4A,96%,86%,50%,90%,100%,93%,0%,19,6,2,3
1,109894,RG5 4BS,0118 9540770,4,10%,27,64%,11,26%,5,11%,88%,83%,100%,28.5,4A,94%,85%,SUPP,89%,91%,82%,0%,11,-2,2,-1
1,109993,RG10 8DY,0118 9402645,2,5%,27,61%,15,34%,2,5%,86%,98%,100%,30.3,5C,81%,89%,SUPP,85%,93%,98%,0%,-2,SUPP,SUPP,-2
1,110041,RG5 3BH,0118 9693893,4,7%,39,66%,16,27%,4,7%,95%,100%,83%,29.3,4A,96%,94%,SUPP,95%,100%,100%,0%,-21,9,-9,4
1,109972,RG10 0DR,0118 9340727,1,5%,13,68%,5,26%,1,5%,89%,100%,100%,29.6,4A,100%,83%,SUPP,92%,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,109987,RG41 2YJ,0118 9785219,4,5%,49,60%,29,35%,4,4%,93%,90%,89%,29.9,4A,88%,98%,SUPP,92%,97%,89%,0%,-2,2,2,4
1,110024,RG40 3AT,01344 772427,0,0%,12,60%,8,40%,2,9%,100%,100%,100%,31.1,5C,100%,100%,SUPP,100%,100%,96%,0%,SUPP,SUPP,SUPP,SUPP
1,110032,RG40 2EB,0118 9784310,4,16%,15,60%,6,24%,3,11%,84%,88%,100%,29.1,4A,86%,82%,SUPP,87%,100%,82%,0%,SUPP,SUPP,SUPP,SUPP
1,109976,RG2 9EJ,0118 9883663,3,14%,9,43%,9,43%,4,19%,90%,90%,100%,28.9,4A,90%,91%,SUPP,89%,100%,86%,0%,-4,-1,-6,1
1,110016,RG4 6XF,0118 9693399,0,0%,14,67%,7,33%,0,0%,90%,90%,95%,29.9,4A,100%,75%,SUPP,93%,86%,95%,0%,SUPP,SUPP,SUPP,SUPP
1,133383,RG5 3NA,0118 9691672,12,21%,26,45%,20,34%,8,14%,91%,97%,97%,28.9,4A,94%,89%,83%,100%,85%,95%,0%,9,3,1,7
1,109899,RG40 2EJ,0118 9786682,5,10%,21,41%,25,49%,4,8%,96%,92%,82%,31,5C,97%,95%,SUPP,95%,100%,92%,0%,-4,2,-5,1
1,109839,RG2 8EP,0118 9872588,9,20%,28,62%,8,18%,9,19%,69%,80%,89%,27.5,4B,62%,75%,11%,82%,88%,79%,0%,-14,-2,-1,-12
1,109890,RG5 4RW,0118 9691556,3,5%,24,41%,31,53%,3,5%,84%,91%,95%,30.2,5C,92%,79%,SUPP,92%,81%,95%,0%,41,SUPP,SUPP,-5
1,139899,RG41 3DR,0118 9029123 ,,,,,,,,,,,,,,,,,,,,,,,,
1,109876,RG41 5LH,0118 9782590,4,9%,32,68%,11,23%,3,6%,96%,98%,87%,29.4,4A,96%,95%,SUPP,100%,100%,98%,0%,-32,4,-1,-1
1,109988,RG5 4UX,0118 9693246,6,14%,25,58%,12,28%,1,2%,82%,98%,77%,28.9,4A,68%,100%,67%,84%,83%,96%,0%,-2,SUPP,SUPP,-9
2,110187,RG5 3EU,0118 9669073,12,100%,0,0%,0,0%,4,31%,23%,8%,15%,13,2,43%,0%,25%,SUPP,SUPP,0%,0%,-59,-90,-80,-73
3,,,,205,12%,906,55%,546,33%,175,10%,89%,90%,92%,29.3,4A,89%,89%,64%,91%,94%,89%,,-8,1,1,0
1,132127,CB5 8ND,01223 508611,11,26%,29,67%,3,7%,17,38%,93%,93%,88%,26.8,4B,92%,94%,82%,97%,SUPP,80%,0%,-2,3,6,3
1,110850,PE28 2LT,01487 773318,2,14%,10,71%,2,14%,0,0%,100%,100%,93%,28,4A,SUPP,100%,SUPP,100%,SUPP,93%,0%,SUPP,SUPP,SUPP,SUPP
1,110809,PE28 4EQ,01480 890341,8,29%,14,50%,6,21%,3,11%,82%,89%,96%,29.1,4A,82%,82%,50%,93%,100%,89%,0%,12,SUPP,SUPP,-6
1,136653,PE7 1XJ,01733 202403,10,12%,38,47%,33,41%,26,31%,79%,80%,88%,27.7,4B,78%,80%,80%,74%,85%,80%,0%,2,-4,-3,-4
1,110644,PE13 4JA,01945 700275,3,30%,4,40%,3,30%,6,60%,60%,70%,80%,27,4B,SUPP,67%,SUPP,SUPP,SUPP,70%,0%,-9,1,-1,1
1,110859,PE15 8ND,01354 659000,9,33%,13,48%,5,19%,6,21%,93%,93%,96%,28.4,4A,100%,87%,89%,100%,SUPP,79%,0%,-5,0,-2,4
1,110664,CB4 2DE,01223 359568,6,13%,26,58%,13,29%,17,35%,91%,82%,84%,28.1,4A,88%,93%,83%,92%,92%,81%,2%,6,2,0,2
1,110685,PE26 2TG,01733 844262,2,14%,10,71%,2,14%,3,21%,86%,86%,79%,27.6,4B,90%,SUPP,SUPP,80%,SUPP,86%,0%,-21,4,2,-11
1,110780,CB22 3AG,01223 832322,1,8%,9,69%,3,23%,0,0%,100%,100%,100%,30.7,5C,SUPP,100%,SUPP,100%,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110625,CB23 8DY,01954 273305,6,23%,12,46%,8,31%,4,15%,96%,96%,100%,29.7,4A,92%,100%,100%,92%,100%,100%,0%,22,6,8,7
1,110814,SG19 3AE,01767 677294,1,6%,11,61%,6,33%,0,0%,78%,78%,100%,29.1,4A,83%,67%,SUPP,82%,83%,89%,0%,SUPP,SUPP,SUPP,SUPP
1,110781,CB22 7RG,01223 712273,2,14%,10,71%,2,14%,0,0%,71%,93%,93%,27,4B,57%,86%,SUPP,80%,SUPP,86%,0%,SUPP,SUPP,SUPP,SUPP
1,110829,CB23 7BD,01223 262474,3,30%,5,50%,2,20%,0,0%,70%,90%,90%,27,4B,63%,SUPP,SUPP,SUPP,SUPP,70%,0%,SUPP,SUPP,SUPP,SUPP
1,110602,SG8 5NP,01763 242460,4,11%,18,49%,15,41%,5,13%,95%,86%,76%,29.3,4A,94%,95%,SUPP,100%,87%,89%,0%,-28,-2,-12,-1
1,110643,PE14 8RH,01945 772439,0,0%,4,44%,5,56%,1,11%,89%,89%,100%,30.3,5C,SUPP,SUPP,SUPP,SUPP,SUPP,100%,0%,27,2,8,-6
1,135132,CB22 3GB,01223 833216,6,14%,28,65%,9,21%,7,16%,98%,98%,91%,29.6,4A,100%,94%,100%,96%,100%,98%,0%,1,5,0,3
1,110627,PE15 0XA,01354 677266,4,33%,7,58%,1,8%,5,42%,100%,75%,100%,28,4A,100%,SUPP,SUPP,100%,SUPP,58%,0%,-21,1,8,8
1,110746,CB1 9ND,01223 508772,4,12%,22,65%,8,24%,8,23%,88%,79%,91%,29,4A,90%,85%,SUPP,91%,100%,83%,0%,-11,0,4,-1
1,110669,CB25 9BE,01223 811235,3,13%,14,61%,6,26%,5,21%,91%,91%,96%,29.4,4A,92%,90%,SUPP,93%,100%,83%,0%,21,2,-3,3
1,137626,CB23 2SP,01954 719282,1,4%,13,50%,12,46%,6,22%,100%,92%,100%,31.4,5C,100%,100%,SUPP,100%,100%,96%,0%,16,8,8,12
1,135131,PE28 4RF,01480 375063,6,12%,30,59%,15,29%,7,13%,88%,92%,84%,28.9,4A,100%,79%,50%,90%,100%,91%,0%,-4,5,-7,-4
1,110827,PE28 5AE,01832 710383,1,7%,10,71%,3,21%,1,7%,86%,93%,93%,28.5,4A,80%,SUPP,SUPP,80%,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,137639,PE19 5TT,01480 810241,3,13%,15,65%,5,22%,3,13%,57%,78%,74%,26.3,4B,57%,56%,SUPP,80%,SUPP,79%,0%,-37,-5,-12,-17
1,110783,CB8 9NH,01638 507236,1,8%,8,62%,4,31%,1,7%,100%,100%,100%,30.9,5C,SUPP,100%,SUPP,100%,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110639,PE15 9RP,01354 652330,10,20%,25,51%,14,29%,12,24%,94%,94%,86%,28.8,4A,100%,88%,80%,96%,100%,94%,0%,4,-2,-3,4
1,110758,CB25 0DU,01638 613103,11,18%,33,54%,17,28%,8,13%,92%,98%,97%,29.3,4A,93%,91%,73%,94%,100%,92%,2%,-17,7,2,0
1,110846,PE26 2NJ,01487 813784,2,6%,19,61%,10,32%,2,6%,74%,94%,97%,29.2,4A,88%,57%,SUPP,74%,90%,94%,0%,SUPP,SUPP,SUPP,SUPP
1,132031,PE19 8BT,01480 375375,8,29%,16,57%,4,14%,7,24%,93%,68%,79%,26.1,4B,93%,92%,100%,94%,SUPP,69%,0%,-24,-1,-1,1
1,110603,CB23 7NX,01954 210263,4,13%,16,52%,11,35%,3,10%,100%,100%,100%,31,5C,100%,100%,SUPP,100%,100%,94%,0%,SUPP,SUPP,SUPP,SUPP
1,110784,CB21 4TH,01799 584270,4,27%,11,73%,0,0%,2,13%,67%,100%,100%,27.5,4B,71%,63%,SUPP,73%,SUPP,93%,0%,SUPP,SUPP,SUPP,SUPP
1,110674,PE15 9EQ,01354 652814,8,19%,24,56%,11,26%,15,34%,79%,86%,93%,28.1,4A,86%,64%,63%,88%,73%,86%,0%,-7,-4,-2,-3
1,110801,CB1 9HH,01223 568834,,,,,,,,,,,,,,,,,,,,,,,,
1,139556,CB4 1RW,078 99662629,,,,,,,,,,,,,,,,,,,,,,,,
1,110785,CB8 9DF,01638 730273,1,7%,7,50%,6,43%,1,7%,100%,100%,93%,30.2,5C,100%,100%,SUPP,100%,100%,93%,0%,-21,5,-2,-2
1,110631,PE7 2BP,01733 840527,0,0%,13,72%,5,28%,5,26%,100%,100%,100%,31.1,5C,SUPP,100%,SUPP,100%,SUPP,100%,0%,28,6,4,1
1,110665,CB1 9EJ,01223 576246,3,15%,15,75%,2,10%,6,29%,80%,80%,90%,26.4,4B,89%,73%,SUPP,87%,SUPP,81%,0%,-26,-7,-6,-15
1,110786,CB23 7PW,01954 210339,0,0%,7,47%,8,53%,2,13%,100%,93%,100%,30.8,5C,100%,100%,SUPP,100%,100%,94%,0%,SUPP,SUPP,SUPP,SUPP
1,110604,CB24 8TA,01954 250227,9,12%,35,47%,30,41%,8,11%,78%,80%,84%,28.3,4A,79%,78%,44%,80%,87%,83%,1%,-18,-8,-2,-6
1,132071,PE29 6JA,01480 437830,4,15%,13,50%,9,35%,3,11%,100%,96%,100%,29.7,4A,100%,100%,SUPP,100%,100%,93%,0%,8,6,8,4
1,136339,PE19 7GG,01480 475972,5,4%,46,39%,66,56%,14,12%,53%,74%,64%,27.9,4B,63%,41%,SUPP,52%,58%,87%,0%,-3,-14,-28,-30
1,110624,CB8 8BL,01638 613001,3,12%,15,60%,7,28%,2,8%,84%,88%,100%,28,4A,90%,80%,SUPP,87%,86%,92%,0%,SUPP,SUPP,SUPP,SUPP
1,110799,CB6 2ST,01353 699325,4,14%,15,54%,9,32%,2,7%,100%,96%,100%,29.3,4A,100%,100%,SUPP,100%,100%,96%,0%,SUPP,SUPP,SUPP,SUPP
1,110787,CB23 8DA,01954 780618,0,0%,5,63%,3,38%,1,13%,100%,88%,88%,30.4,5C,SUPP,SUPP,SUPP,SUPP,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110798,CB22 4RA,01223 712108,3,15%,13,65%,4,20%,3,15%,75%,80%,85%,27.2,4B,80%,70%,SUPP,85%,SUPP,75%,0%,4,-8,-1,-8
1,110737,PE28 3QB,01487 841868,2,13%,12,75%,2,13%,3,19%,88%,75%,75%,26.3,4B,SUPP,83%,SUPP,92%,SUPP,75%,0%,SUPP,SUPP,SUPP,SUPP
1,110800,PE14 0AG,01945 860295,2,7%,22,73%,6,20%,8,27%,87%,93%,97%,28,4A,85%,88%,SUPP,82%,100%,93%,0%,-6,-1,0,-9
1,110650,PE13 2TB,01945 584591,9,33%,13,48%,5,19%,11,38%,92%,78%,89%,25,4C,88%,100%,88%,92%,SUPP,59%,0%,-16,-11,-2,-8
1,110830,CB23 4JD,01954 267272,2,12%,8,47%,7,41%,0,0%,88%,100%,88%,29.2,4A,90%,86%,SUPP,88%,100%,94%,0%,SUPP,SUPP,SUPP,SUPP
1,110847,PE8 6RS,01832 280314,2,33%,3,50%,1,17%,2,33%,83%,100%,100%,29.3,4A,SUPP,83%,SUPP,SUPP,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110773,CB6 3BW,01353 612780,14,23%,35,58%,11,18%,7,11%,88%,97%,97%,28.4,4A,97%,76%,64%,94%,100%,89%,0%,-3,7,4,1
1,110842,CB7 4RB,01353 662163,11,15%,41,55%,23,31%,20,25%,76%,85%,89%,28.2,4A,71%,83%,73%,73%,83%,86%,0%,-16,-2,-4,-4
1,110820,PE19 2TD,01480 398028,5,17%,19,66%,5,17%,8,27%,86%,93%,97%,28.1,4A,100%,67%,SUPP,89%,SUPP,97%,0%,-9,8,6,-2
1,110811,PE7 3AR,01733 240337,5,20%,14,56%,6,24%,6,24%,80%,88%,96%,27.4,4B,70%,87%,SUPP,86%,67%,88%,0%,-1,3,5,1
1,110766,CB2 9FS,01223 840258,2,11%,11,58%,6,32%,6,29%,95%,89%,100%,28.7,4A,100%,88%,SUPP,91%,100%,90%,0%,10,-2,2,4
1,110605,CB5 8SZ,01223 292342,4,25%,5,31%,7,44%,2,13%,81%,100%,100%,28.7,4A,83%,80%,SUPP,SUPP,86%,94%,0%,19,10,8,2
1,110606,CB24 4SL,01954 273346,1,13%,3,38%,4,50%,0,0%,88%,100%,88%,29.1,4A,SUPP,SUPP,SUPP,SUPP,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110676,PE28 9JR,01480 375055,5,13%,30,75%,5,13%,6,14%,83%,85%,88%,28.1,4A,86%,80%,SUPP,87%,SUPP,81%,2%,-21,2,3,-5
1,110812,PE7 3TY,01733 240562,0,0%,8,57%,6,43%,1,7%,79%,93%,71%,28.9,4A,100%,63%,SUPP,75%,83%,93%,0%,SUPP,SUPP,SUPP,SUPP
1,110788,CB7 5NL,01638 720296,2,8%,17,65%,7,27%,4,14%,96%,96%,96%,28.8,4A,100%,93%,SUPP,94%,100%,86%,0%,-17,6,4,1
1,110754,PE7 3ZT,01733 703611,12,21%,35,63%,9,16%,9,16%,95%,86%,91%,28.5,4A,92%,97%,100%,91%,100%,86%,0%,-12,1,3,8
1,110607,SG8 7SL,01763 208203,4,24%,8,47%,5,29%,1,6%,94%,88%,88%,27.5,4B,86%,100%,SUPP,100%,SUPP,82%,0%,SUPP,SUPP,SUPP,SUPP
1,110608,CB22 6RN,01223 712447,0,0%,12,75%,4,25%,3,19%,94%,94%,100%,29.2,4A,91%,SUPP,SUPP,92%,SUPP,94%,0%,SUPP,SUPP,SUPP,SUPP
1,110633,PE14 0HW,01945 860220,5,29%,7,41%,5,29%,4,24%,88%,82%,88%,27.4,4B,88%,89%,SUPP,71%,SUPP,88%,0%,10,-8,-4,5
1,110759,CB21 5BH,01223 712525,4,12%,20,59%,10,29%,2,6%,97%,94%,94%,30,5C,100%,93%,SUPP,100%,100%,97%,0%,SUPP,SUPP,SUPP,SUPP
1,137879,SG19 3HD,01767 650360,4,7%,37,69%,13,24%,9,16%,67%,91%,94%,27.7,4B,69%,64%,SUPP,59%,100%,87%,0%,8,3,1,-21
1,110610,CB3 0PN,01223 276484,2,11%,11,61%,5,28%,4,21%,83%,94%,100%,28.7,4A,89%,78%,SUPP,82%,SUPP,89%,0%,-2,3,6,-1
1,110777,PE16 6EZ,01354 695915,16,33%,21,43%,12,24%,15,31%,90%,88%,84%,27.2,4B,88%,92%,75%,100%,92%,80%,0%,-6,2,-8,1
1,138029,PE29 2AG,01480 375115,5,8%,31,53%,23,39%,8,13%,100%,95%,98%,30.2,5C,100%,100%,SUPP,100%,100%,97%,2%,3,3,0,8
1,110634,PE13 4NB,01945 870321,5,36%,4,29%,5,36%,3,21%,93%,71%,93%,27,4B,83%,100%,SUPP,SUPP,SUPP,64%,0%,-15,-5,3,6
1,110611,CB21 6AE,01223 891362,4,18%,14,64%,4,18%,0,0%,100%,95%,95%,29.1,4A,100%,100%,SUPP,100%,SUPP,95%,0%,SUPP,SUPP,SUPP,SUPP
1,110831,CB22 5EL,01223 843107,1,5%,15,79%,3,16%,1,5%,95%,95%,100%,29.7,4A,100%,89%,SUPP,100%,SUPP,95%,0%,SUPP,SUPP,SUPP,SUPP
1,110813,PE28 5NX,01832 293466,1,10%,6,60%,3,30%,1,10%,80%,70%,100%,28.2,4A,67%,SUPP,SUPP,67%,SUPP,70%,0%,SUPP,SUPP,SUPP,SUPP
1,110815,PE19 6YJ,01480 472132,2,11%,12,67%,4,22%,3,17%,83%,78%,94%,27.8,4B,100%,73%,SUPP,75%,SUPP,89%,0%,-42,0,1,1
1,110678,PE19 5BP,01480 860324,1,8%,10,83%,1,8%,0,0%,92%,83%,92%,27.8,4B,SUPP,86%,SUPP,90%,SUPP,92%,0%,SUPP,SUPP,SUPP,SUPP
1,110789,CB21 5JQ,01223 880408,4,31%,8,62%,1,8%,2,15%,69%,100%,100%,26.7,4B,56%,SUPP,SUPP,63%,SUPP,92%,0%,SUPP,SUPP,SUPP,SUPP
1,110668,CB4 2NB,01223 577017,7,35%,12,60%,1,5%,18,72%,86%,78%,87%,26.2,4B,92%,78%,86%,92%,SUPP,76%,0%,0,-10,-5,-5
1,110790,SG8 0JZ,01763 852318,2,15%,7,54%,4,31%,1,8%,77%,85%,100%,28,4A,71%,83%,SUPP,86%,SUPP,85%,0%,SUPP,SUPP,SUPP,SUPP
1,110806,PE13 4ED,01945 450247,4,25%,9,56%,3,19%,11,69%,69%,100%,94%,26.3,4B,SUPP,73%,SUPP,67%,SUPP,81%,0%,-26,10,-2,-6
1,110748,CB23 7RE,01954 210070,4,10%,28,67%,10,24%,6,13%,84%,88%,88%,28.8,4A,82%,88%,SUPP,82%,90%,87%,0%,11,1,-5,-3
1,110612,CB22 7PX,01223 870345,1,6%,12,67%,5,28%,2,11%,100%,100%,94%,29.9,4A,100%,100%,SUPP,100%,SUPP,95%,0%,24,SUPP,SUPP,12
1,110696,PE29 1UL,01480 454695,5,9%,35,65%,14,26%,19,35%,76%,87%,94%,27.4,4B,84%,69%,SUPP,74%,71%,87%,0%,-2,0,1,-6
1,110796,CB23 1JW,01223 870457,3,13%,14,61%,6,26%,2,8%,96%,100%,100%,30.2,5C,93%,100%,SUPP,100%,100%,96%,0%,SUPP,SUPP,SUPP,SUPP
1,110623,CB24 3DL,01954 273315,2,8%,13,54%,9,38%,2,8%,79%,92%,100%,29.3,4A,85%,73%,SUPP,77%,89%,96%,0%,-9,-3,5,-10
1,138993,CB24 3DL,01954 273315,,,,,,,,,,,,,,,,,,,,,,,,
1,110673,CB22 5HY,01223 870364,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,110679,PE28 9DU,01480 375040,2,8%,13,50%,11,42%,2,8%,85%,88%,96%,29.4,4A,90%,81%,SUPP,100%,73%,92%,0%,41,SUPP,SUPP,2
1,110751,CB24 9JA,01223 712192,3,3%,43,49%,41,47%,10,11%,93%,90%,98%,30.3,5C,98%,89%,SUPP,88%,100%,96%,0%,-2,4,5,5
1,110816,PE7 3PB,01487 830342,1,9%,7,64%,3,27%,2,15%,73%,100%,100%,28.4,4A,100%,SUPP,SUPP,57%,SUPP,92%,0%,SUPP,SUPP,SUPP,SUPP
1,110817,PE27 4TF,01480 462007,0,0%,11,48%,12,52%,2,9%,91%,91%,100%,31.5,5C,100%,85%,SUPP,82%,100%,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110680,PE28 2AY,01480 463398,3,13%,14,61%,6,26%,1,4%,87%,96%,96%,28.4,4A,73%,100%,SUPP,93%,100%,96%,0%,SUPP,SUPP,SUPP,SUPP
1,135568,PE29 1AD,01480 375113,6,12%,33,65%,12,24%,17,31%,90%,75%,80%,27.2,4B,100%,87%,50%,94%,100%,78%,0%,-26,-11,-14,-9
1,110671,CB22 3EA,01223 508750,4,31%,7,54%,2,15%,3,23%,69%,69%,85%,25.8,4C,SUPP,75%,SUPP,71%,SUPP,69%,0%,-2,-10,2,-8
1,110791,CB7 5RZ,01638 780336,5,21%,12,50%,7,29%,4,16%,88%,100%,96%,28.3,4A,83%,92%,SUPP,83%,100%,100%,0%,-13,8,4,-1
1,135817,CB23 6DZ,01954 717180,,,,,,,,,,,,,,,,,,,,,,,,
1,110613,CB8 7QQ,01638 750386,2,29%,4,57%,1,14%,2,29%,86%,100%,100%,28.9,4A,SUPP,SUPP,SUPP,SUPP,SUPP,100%,0%,12,10,0,-5
1,110771,CB8 9UH,01638 508360,2,11%,11,61%,5,28%,0,0%,94%,94%,100%,29.4,4A,100%,90%,SUPP,100%,SUPP,100%,0%,SUPP,SUPP,SUPP,SUPP
1,110762,PE13 5LG,01945 870374,7,58%,4,33%,1,8%,7,54%,58%,58%,83%,24.1,4C,67%,50%,29%,SUPP,SUPP,54%,0%,-41,10,2,-17
1,110775,CB4 2HU,01223 518330,9,20%,25,57%,10,23%,23,50%,89%,80%,91%,27.7,4B,91%,86%,56%,96%,100%,74%,0%,9,-11,-4,-7
